DISTRICT NAME,DISTRICT NUMBER,COUNTY NUMBER AND NAME,EDUCATION SERVICE CENTER REGION,DISTRICT ACCOUNTABILITY RATINGS,TOTAL NUMBER OF SCHOOLS,TOTAL STUDENTS,STUDENTS: % AFRICAN AMERICAN,STUDENTS: % HISPANIC,STUDENTS: % WHITE,STUDENTS: % AMERICAN INDIAN,STUDENTS: % ASIAN,STUDENTS: % PACIFIC ISLANDER,STUDENTS: % TWO OR MORE RACES,STUDENTS: % ECONOMICALLY DISADVANTAGED,STUDENTS: % ENGLISH LEARNERS (EL),STUDENTS: % SPECIAL EDUCATION,STUDENTS: % BILINGUAL/ESL EDUCATION,STUDENTS: % CAREER & TECHNICAL EDUCATION,STUDENTS: % GIFTED & TALENTED EDUCATION,ATTENDANCE RATE (2020-21),ANNUAL DROPOUT RATE GR. 9-12 (2020-21),4-YR LONGITUDINAL GRADUATION RATE (CLASS OF 2021) DISTRICT EXCL,5-YR LONGITUDINAL GRADUATION RATE (CLASS OF 2020) DISTRICT EXCL, 6-YR LONGITUDINAL GRADUATION RATE (CLASS OF 2019) DISTRICT EXCL,ANNUAL GRADUATE COUNT (2020-21),ANNUAL RHSP/DAP/FHSP-E/FHSP-DLA GRADUATE COUNT (2020-21),STAAR: % ALL SUBJECTS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ALL SUBJECTS AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ALL SUBJECTS AT MASTERS GRADE LEVEL STANDARD,STAAR: % ELA/READING AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ELA/READING AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ELA/READING AT MASTERS GRADE LEVEL STANDARD,STAAR: % MATHEMATICS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT MASTERS GRADE LEVEL STANDARD,STAAR: % SCIENCE AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % SCIENCE AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % SCIENCE AT MASTERS GRADE LEVEL STANDARD,STAAR: % SOCIAL STUDIES AT APPROACHES GRADE LEVEL STANDARD OR ABOVE, STAAR: % SOCIAL STUDIES AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % SOCIAL STUDIES AT MASTERS GRADE LEVEL STANDARD, STAAR: % AFRICAN AMERICAN AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % AFRICAN AMERICAN AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % AFRICAN AMERICAN AT MASTERS GRADE LEVEL STANDARD,STAAR: % HISPANIC AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % HISPANIC AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % HISPANIC AT MASTERS GRADE LEVEL STANDARD,STAAR: % WHITE AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % WHITE AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % WHITE AT MASTERS GRADE LEVEL STANDARD,STAAR: % AMERICAN INDIAN AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % AMERICAN INDIAN AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % AMERICAN INDIAN AT MASTERS GRADE LEVEL STANDARD,STAAR: % ASIAN AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ASIAN AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ASIAN AT MASTERS GRADE LEVEL STANDARD,STAAR: % PACIFIC ISLANDER AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % PACIFIC ISLANDER AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % PACIFIC ISLANDER AT MASTERS GRADE LEVEL STANDARD,STAAR: % TWO OR MORE RACES AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % TWO OR MORE RACES AT MEETS GRADE LEVEL STANDARD OR ABOVE, STAAR: % TWO OR MORE RACES AT MASTERS GRADE LEVEL STANDARD,STAAR: % ECONOMICALLY DISADVANTAGED AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ECONOMICALLY DISADVANTAGED AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ECONOMICALLY DISADVANTAGED AT MASTERS GRADE LEVEL STANDARD,COLLEGE ADMISSIONS: % TESTED (2020-2021),COLLEGE ADMISSIONS: % AT/ABOVE CRITERION (2020-2021),SAT-AVERAGE SCORE (2021-2020),ACT-AVERAGE SCORE (2021-2020),TOTAL STAFF FTE,TOTAL TEACHER FTE,STAFF: % CENTRAL ADMINISTRATIVE,STAFF: % SCHOOL ADMINISTRATIVE,STAFF: % PROFESSIONAL SUPPORT,STAFF: % TEACHERS,STAFF: % EDUCATIONAL AIDES,STAFF: % AUXILIARY,AVERAGE SALARY: CENTRAL ADMINISTRATIVE,AVERAGE SALARY: SCHOOL ADMINISTRATIVE,AVERAGE SALARY: PROFESSIONAL SUPPORT,AVERAGE SALARY: TEACHER,STAFF: % MINORITY,NUMBER OF STUDENTS PER TOTAL STAFF,NUMBER OF STUDENTS PER TEACHER,TEACHER: % WITH 5 OR FEWER YEARS OF EXPERIENCE,TEACHER: AVERAGE YEARS OF EXPERIENCE,TEACHER: % WITH ADVANCED DEGREES,TEACHER: TURNOVER RATE,TEACHER: % AFRICAN AMERICAN,TEACHER: % HISPANIC,TEACHER: % WHITE,TEACHER: % AMERICAN INDIAN,TEACHER: % ASIAN,TEACHER: % PACIFIC ISLANDER,TEACHER: % TWO OR MORE RACES,TEACHER: % REGULAR EDUCATION,TEACHER: % SPECIAL EDUCATION,TEACHER: % COMPENSATORY EDUCATION,TEACHER: % BILINGUAL/ESL EDUCATION,TEACHER: % CAREER & TECHNICAL EDUCATION,TEACHER: % OTHER EDUCATION (INCLUDES G & T),TAXABLE VALUE PER PUPIL (2019 TAX YEAR),LOCALLY ADOPTED TAX RATE (2020 TAX YEAR),TOTAL OPERATING AND OTHER REVENUE (2020-21),Total OPERATING AND OTHER REVENUE PER PUPIL,Total OPERATING REVENUE (2020-21),REVENUE: % STATE,REVENUE: % LOCAL AND OTHER,REVENUE: % FEDERAL,TOTAL OTHER REVENUE(2020-21),FUND BALANCE (FOR ISDS),NET ASSETS (CHARTER SCHOOLS),TOTAL ACTUAL EXPENDITURES (2020-21),TOTAL ACTUAL OPERATING EXPENDITURES (2020-21),TOTAL ACTUAL OPERATING EXPENDITURES PER PUPIL,EXPENDITURE: % INSTRUCTIONAL,EXPENDITURE: % CENTRAL ADMINISTRATIVE,EXPENDITURE: % SCHOOL LEADERSHIP,EXPENDITURE: % PLANT SERVICES,EXPENDITURE: % OTHER OPERATING,TOTAL ACTUAL INSTRUCTIONAL EXPENDITURES,TOTAL ACTUAL INSTRUCTIONAL EXPENDITURES PER PUPIL, EXPENDITURE: % BASIC EDUCATION SERVICES,EXPENDITURE: % SPECIAL EDUCATION,EXPENDITURE: % STATE COMPENSATORY EDUCATION,EXPENDITURE: % BILINGUAL/ESL EDUCATION,EXPENDITURE: % CAREER & TECHNICAL EDUCATION, EXPENDITURE: % GIFTED & TALENTED EDUCATION,EXPENDITURE: % ATHLETICS/RELATED ACTIVITIES,EXPENDITURE: % HIGH SCHOOL ALLOTMENT,EXPENDITURE: % PREKINDERGARTEN,EXPENDITURE: % UN-ALLOCATED,DISTRICT SIZE,COMMUNITY TYPE,PROPERTY WEALTH,TAX RATE
GARLAND ISD,057909,057 DALLAS,10,B,70,52960,18.3,52.3,15.6,1.4,9.4,0.1,2.9,74.1,36.7,10.2,35.1,29.7,8.1,95.7,0.9,95.2,96.2,96.1,4008,3315,71,44,20,72,49,22,70,38,16,72,43,19,73,46,26,64,36,15,67,38,15,83,59,32,74,39,16,89,70,42,81,59,30,79,54,26,67,38,16,92.3,26.6,957,21.7,6972.1,3448.1,0.6,2.7,12.3,49.5,8.3,26.6,129040,98122,75259,60720,51.7,7.6,15.4,30.8,11.4,31.2,18.7,18.7,23.1,52.4,0.5,3.5,0.4,1.4,59.5,8.3,8.7,10.2,6.5,6.9,416896,1.256,627460409,11655,557255726,47.5,39.1,13.4,70204683,262239740,0,660719744,580356202,10780,57.3,7.8,5.7,9.2,20.1,332277827,6172,38.9,12.4,9.2,1.6,4.6,0.4,1.3,0,1.6,24.6,"50,000 and over",Major Suburban,"$411,857 to < $427,868",$1.2148 to under $1.3239
GRAND PRAIRIE ISD,057910,057 DALLAS,10,B,39,27284,17.7,67.9,8.4,0.4,3.3,0.1,2.3,74.3,34,9.6,34.8,27,6.5,95,2.5,90.7,93.5,94.3,2139,1915,68,41,17,68,45,19,67,36,16,70,39,15,69,41,22,66,40,16,67,38,15,76,53,27,63,34,15,90,73,46,76,45,21,77,51,26,65,36,14,85.2,19,918,20.2,3769.1,1871.9,1.1,3.2,12.3,49.7,8.6,25.1,134268,87544,70887,61645,62.8,7.2,14.6,44,9,26.9,22.1,21,27.8,46.2,0.3,2.5,0.1,2.2,77.5,8.7,2.8,2,6.6,2.4,301658,1.51,376358189,13372,327157457,56.4,30.9,12.7,49200732,97345893,0,342923960,291719277,10365,57.2,6.5,6.9,9.3,20,166926612,5931,40.9,12.8,9.2,2.1,5.4,1.3,1,1.2,1.4,21.3,"25,000 to 49,999",Major Suburban,"$298,152 to < $340,843",$1.3239 and over
HIGHLAND PARK ISD,057911,057 DALLAS,10,A,8,6666,0.8,6.4,81.8,0.4,7.2,0.1,3.3,0.2,1.1,10.2,1,27.6,15.4,98.3,0,99.3,100,99.4,551,528,96,82,51,97,86,53,96,78,48,96,79,42,96,84,67,83,58,28,94,78,44,96,82,49,94,73,33,99,92,75,93,57,50,97,85,60,87,50,13,89.7,88.3,1307,27.9,846.7,454.8,1.6,3.1,11.9,53.7,10.9,18.8,132269,90834,73600,55481,23.2,7.9,14.7,26.1,12.9,65,17,1.8,6,88,1.3,2,0.7,0.2,79.9,7,0.1,0.5,2.7,9.8,2728808,1.152,103692821,15716,71371199,10.4,88.1,1.5,32321622,23688952,0,119939031,73193461,11093,58.2,8.4,4.9,12.8,15.7,42608570,6458,53.9,15,0.1,0.1,1.2,0.9,4.3,0,0,22.7,"5,000 to 9,999",Major Suburban,"$1,892,208 and over",$1.0809 to under $1.2148
IRVING ISD,057912,057 DALLAS,10,B,37,32339,13,71.4,8.6,2.4,3.2,0.2,1.2,86.3,48.6,8.3,50.7,25.4,14,96.1,1.8,94.7,96,96,2342,1856,63,33,12,63,38,14,61,27,10,67,34,10,65,37,19,60,31,12,63,32,11,71,43,19,63,28,9,86,66,33,61,34,9,66,36,14,62,32,12,92.7,15.1,900,16,4311.6,2239.6,2.3,3,11.6,51.9,12.6,18.5,98523,88220,73236,64815,63.3,7.5,14.4,37.3,9.5,33,16.4,17.4,33.7,43.1,0.4,3.2,0.1,2.1,59.6,8.3,0,11.9,5.8,14.5,475256,1.275,416258414,12745,374179017,41.3,43,15.7,42079397,86736133,0,432309335,380632488,11654,57.9,8.4,5.8,8.4,19.5,220504222,6752,38.1,12,12.1,2.5,3.9,5.1,1.1,0.1,0.1,21.7,"25,000 to 49,999",Major Suburban,"$456,750 to < $479,670",$1.2148 to under $1.3239
LANCASTER ISD,057913,057 DALLAS,10,B,9,6978,73.2,22.4,1.2,0.5,0.2,0.1,2.2,83.2,10,9.1,9.8,29.3,8.4,97.4,0.1,99.2,100,99.8,514,498,67,35,13,70,42,16,63,29,11,68,32,10,68,29,13,66,33,11,70,39,17,71,47,12,73,44,17,100,81,52,70,50,30,65,37,21,65,32,12,88.5,5.1,936,15.5,899.6,440.8,1.4,3,9.4,49,11.5,25.7,136651,74053,71796,60345,87.3,7.8,15.8,31.5,12,43,21.4,80.2,4.8,13.6,0,0.2,0,1.1,75.5,7.5,4.8,2.7,6.2,3.2,465452,1.5,98568299,13738,81507010,46.2,44.6,9.2,17061289,32910355,0,87748190,71366839,9947,54.8,9.6,5.9,11.9,17.7,39118749,5452,38.3,11.8,11.5,0.5,4.2,0.5,2.5,0,0,26.2,"5,000 to 9,999",Major Suburban,"$456,750 to < $479,670",$1.3239 and over
MESQUITE ISD,057914,057 DALLAS,10,B,50,38311,25.1,60.7,10,0.7,1.2,0.1,2.2,79.7,31,12.6,29.7,29.5,7.1,95.4,1.2,93.5,95.9,94.8,2670,2107,70,42,18,68,43,17,71,39,17,77,48,20,69,40,20,63,33,12,72,43,18,78,53,26,72,45,23,87,67,39,67,41,19,72,45,20,68,40,16,85.2,20.2,922,19.1,5432.8,2641.9,1,2.6,11.5,48.6,10,26.3,116952,85762,69895,62655,49.8,7.1,14.5,39.8,9.8,41.8,16.8,18.7,23.2,54.2,0.4,1.5,0,2,62,9.2,5.2,11.5,5.4,6.7,255151,1.446,471891833,12271,398229893,65.1,25.9,9,73661940,131938914,0,447036091,351066523,9129,60.6,6.9,4.9,10.6,16.9,212781409,5533,41.5,14.4,9.6,2.2,4.1,0.7,1.7,0,0.4,21.6,"25,000 to 49,999",Major Suburban,"$234,712 to < $298,152",$1.3239 and over
RICHARDSON ISD,057916,057 DALLAS,10,B,55,37358,22.4,37.3,30,0.3,6.9,0.1,3,55.9,28,13.2,27.9,24.1,9.7,95.3,2.7,92.6,92.5,93.1,2329,1866,73,50,26,74,54,28,71,43,22,75,50,24,76,54,35,64,37,16,63,35,14,91,76,47,73,46,18,81,59,34,67,35,15,80,60,36,63,35,14,76.6,34.9,1167,19.8,5720.6,2977.2,1.3,2.7,13.1,52,7.9,22.9,116501,89792,69741,58618,45.6,6.5,12.5,43.4,9.8,21.4,19.5,12,15.1,66.9,0.5,3.9,0.1,1.6,67.9,12.3,6,7.9,4.1,1.7,710767,1.405,503196695,13347,412027687,21,67.9,11.1,91169008,94350389,0,535054429,417852164,11084,60,5.7,6.2,9.3,18.8,250691126,6650,43.4,15.9,11.1,1.3,2.8,0.8,1.1,0,0.4,19.4,"25,000 to 49,999",Major Suburban,"$674,066 to < $710,768",$1.3239 and over
SUNNYVALE ISD,057919,057 DALLAS,10,A,4,2104,9.6,15.5,47.3,0.3,23.1,0.1,4.1,16.2,8.1,13.6,7,36.1,11,97.2,0.2,98.7,100,100,146,130,89,68,36,91,73,40,86,57,26,91,70,35,94,78,56,75,53,27,82,52,20,91,70,37,100,75,25,96,80,48,-1,-1,-1,87,65,34,72,41,16,70.5,59.2,1098,23.6,275.6,145.9,2.7,3.3,9.5,52.9,12.3,19.2,107535,84309,68103,61185,18.2,7.6,14.4,23.5,12.8,40.1,14.7,2.7,6.9,84.6,0,3.1,0.7,2,70.2,7.2,6.1,0,6.9,9.6,689799,1.389,27474682,13601,20862744,24.9,70.1,5,6611938,4659579,0,29307766,22072645,10927,62.4,5,5.7,9.6,17.3,13775625,6820,54.9,9.7,2.6,0.3,4.4,0.3,3.6,0,1.1,21.1,"1,600 to 2,999",Other Central City Suburban,"$674,066 to < $710,768",$1.3239 and over
COPPELL ISD,057922,057 DALLAS,10,A,16,13107,4.2,13.3,24.6,0.3,54.3,0.1,3.3,8.9,15.7,8.6,17,23.6,13.1,98.6,0.2,99.6,99.1,98.8,990,945,92,78,53,92,80,52,92,75,52,92,77,50,94,81,60,80,52,21,79,55,28,92,73,42,94,80,49,97,89,67,100,92,38,90,71,43,75,48,22,86.3,80,1259,27.5,1423.3,855.7,1.3,3.2,13.6,60.1,10,11.8,129569,89852,72253,62797,23,9.2,15.3,34.2,10.7,32,15.8,3.5,8.4,80.9,0.5,5.7,0,1.1,64.9,9.2,0.5,4.4,5.6,15.4,1056271,1.31,162560263,12477,126508554,8.5,86.6,4.9,36051709,75247181,0,164362401,127224935,9765,60.5,8.1,5.2,8.6,17.6,76914157,5903,50.1,14.3,1.2,1.1,3.2,1.2,1.5,0,0.5,21.2,"10,000 to 24,999",Major Suburban,"$1,039,446 to < $1,892,208",$1.2148 to under $1.3239
DAWSON ISD,058902,058 DAWSON,17,Not Rated: Senate Bill 1365,1,149,0.7,70.5,25.5,0,0,0,3.4,72.5,16.1,7.4,16.1,34.2,6.7,94.6,0,-1,-1,,4,3,57,22,9,71,33,16,39,8,1,67,30,11,50,17,6,,,,55,17,6,56,38,20,,,,,,,,,,90,20,0,54,19,7,-1,20,962,,27.3,11.9,3.7,0.4,1.8,43.5,21.4,29.3,115500,85000,67920,47384,54.9,5.4,12.5,58.9,9.4,15.9,67.8,0,49.5,50.5,0,0,0,0,77.8,1.9,6.4,0,13.4,0.4,522803,1.055,2540128,16822,2480748,51.7,37.9,10.4,59380,1119396,0,2249222,2237055,14815,46.1,14.3,6.8,17.7,15.1,1031500,6831,33,3.5,9.9,0.3,3,0.1,3.7,0,1.1,40.9,Under 500,Rural,"$479,670 to < $526,224",Under $1.0809
KLONDIKE ISD,058905,058 DAWSON,17,A,1,259,0,37.1,60.6,0.8,0,0,1.5,22.4,5.8,7.7,5.8,20.5,3.1,97.2,0,100,100,100,11,11,94,78,50,97,80,53,96,83,51,89,73,47,77,58,42,,,,90,71,41,96,84,56,,,,,,,,,,100,83,67,87,67,43,100,45.5,,21.9,46.4,24.2,2.4,3.6,4.2,52.1,12.3,25.4,106134,69438,52808,55210,33.5,5.6,10.7,15.8,13.9,33.5,16.5,0,12,88,0,0,0,0,82.3,2.8,3.9,0,10.9,0,7150455,1.015,8279414,31361,6797562,2.7,93.8,3.6,1481852,13330441,0,8084317,4681601,17733,48.1,15.1,3.1,15.4,18.4,2249372,8520,41.6,2.2,5.6,0.3,4.4,0.3,4.4,0,0.8,39,Under 500,Rural,"$1,892,208 and over",Under $1.0809
LAMESA ISD,058906,058 DAWSON,17,B,1,1602,3.3,82.5,12.7,0.1,0.8,0,0.6,84,4.8,13.5,4.7,31.2,6,92.6,0.5,100,99.2,98.6,129,100,54,26,9,56,31,11,49,19,7,55,27,6,59,24,8,55,31,6,53,24,8,59,34,17,-1,-1,-1,92,69,23,,,,73,45,9,52,23,7,24.8,21.9,-1,18.1,303.9,125.7,1.3,2.6,6.2,41.3,17.3,31.2,122001,78728,56137,49414,63.8,5.3,12.7,58.8,9.1,12.1,25.3,5.6,38.3,52.1,0.8,2.4,0,0.8,71.4,8.3,8,0.8,8.7,2.8,301139,1.375,32371759,18810,28415354,47.6,27.3,25.1,3956405,10597063,0,39683910,22351696,12988,52,8.7,5,12.9,21.3,11612439,6747,17.5,8.3,37.1,0.1,3.2,0.1,4.1,0.5,0.3,26.3,"1,600 to 2,999",Non-metropolitan Stable,"$298,152 to < $340,843",$1.3239 and over
SANDS CISD,058909,058 DAWSON,17,A,1,246,0,44.7,51.6,1.6,0.4,0,1.6,63,12.6,10.6,12.6,29.3,11.4,96.1,0,100,100,100,19,18,90,61,27,93,62,22,87,57,28,94,67,37,84,64,36,,,,88,58,20,92,64,34,100,67,17,-1,-1,-1,,,,-1,-1,-1,89,54,24,68.4,38.5,982,-1,40.5,21.2,2.5,4.9,2,52.3,13.9,24.4,112743,82520,57765,55467,21.7,6.1,11.6,9.4,18,11.7,9.5,0,9.4,88.3,2.2,0,0,0,73.4,8.5,11.1,0,7,0,6461403,0.985,11570073,44161,8975189,1.7,95.1,3.2,2594884,3582400,0,6863525,3774753,14407,46.6,12.9,3.9,16.8,19.8,1759547,6716,25.3,9.5,11.2,0.4,3.9,0.1,4.9,0,1.1,39.5,Under 500,Rural,"$1,892,208 and over",Under $1.0809
HEREFORD ISD,059901,059 DEAF SMITH,16,C,8,3953,0.6,90.5,8.1,0.2,0.2,0.1,0.4,78.1,23.9,11.4,22.7,27.1,2.9,93.2,0.7,93.2,92.6,90.3,259,113,68,36,14,70,41,15,70,34,14,63,31,9,60,32,16,67,56,22,74,41,10,82,65,23,-1,-1,-1,,,,-1,-1,-1,83,33,33,66,33,13,32.8,12.9,1063,18,557.8,277,2.1,3.6,8.9,49.7,16.3,19.5,104124,74632,63396,52178,55.7,7.1,14.3,38.7,11.2,17.8,25.6,0.7,36.1,62.1,0,0,0,1.1,71.4,9,3.6,6.9,7.5,1.7,418746,1.055,46735625,12114,44738433,44.4,36.5,19.1,1997192,15328704,0,50821439,41328580,10712,54.1,8,6.4,11.1,20.4,22375303,5800,38.6,10.8,13.8,0.8,4.6,0.2,2.4,0,0,25.9,"3,000 to 4,999",Other Central City Suburban,"$411,857 to < $427,868",Under $1.0809
WALCOTT ISD,059902,059 DEAF SMITH,16,A,1,152,0,81.6,18.4,0,0,0,0,55.9,11.2,13.8,9.9,0,0.7,96.4,,,,,,,90,59,24,91,63,31,96,65,24,59,24,0,,,,,,,90,59,24,,,,,,,,,,,,,,,,88,49,20,,,,,23.7,9.8,2.1,0.5,6.2,41.3,29.3,20.6,87000,77140,53767,54245,37,6.4,15.5,29.8,11.4,9,9.3,0,0,100,0,0,0,0,70.6,20.4,9,0,0,0,480433,1.06,2445488,17222,2278402,58,31.1,10.9,167086,845682,0,2201179,1979284,13939,61.5,8.4,2,10.2,17.8,1217087,8571,31.5,10.6,15.1,0.3,0,0.4,0,0,1.4,38.6,Under 500,Rural,"$479,670 to < $526,224",Under $1.0809
COOPER ISD,060902,060 DELTA,08,B,3,847,7.7,15.8,69.3,1.2,0.2,0,5.8,66.2,3.2,12,3.2,25.7,10.7,95.7,1.6,92.5,94.1,98.3,64,59,71,42,16,72,49,19,68,35,13,73,38,7,68,44,29,52,24,11,62,37,15,75,46,18,79,32,0,-1,-1,-1,,,,67,37,12,65,36,12,95.3,9.8,,18,126.9,69,1.6,7.1,2.4,54.3,14.2,20.4,110090,76177,58151,50521,11.3,6.7,12.3,47.8,9.7,16.4,18.3,2.9,5.8,91.3,0,0,0,0,75.8,5.8,0,0.3,11.7,6.4,305666,1.236,12248548,15197,11506078,63.8,24.7,11.5,742470,2020053,0,10491889,9560134,11861,55.1,9.4,5.2,9.3,21,5267842,6536,38.2,5.8,9.2,0.1,7,0.1,4.3,0,0,32.1,500 to 999,Rural,"$298,152 to < $340,843",$1.2148 to under $1.3239
FANNINDEL ISD,060914,060 DELTA,08,B,2,148,37.2,14.9,39.2,0.7,0.7,0,7.4,89.2,7.4,24.3,7.4,41.9,3.4,94.1,0,92.3,85.7,100,13,12,51,24,7,57,30,11,44,16,4,56,31,8,45,21,3,32,10,3,60,31,10,63,33,12,-1,-1,-1,,,,,,,44,11,0,50,23,7,76.9,10,804,,40.7,18.6,3.7,4.6,7.1,45.7,12,26.8,75387,70942,41683,48711,25.6,3.6,8,38.2,10.8,11.3,32.3,16.7,5.4,77.9,0,0,0,0,77.4,5,5.4,0,12.2,0,479208,1.128,3121264,19631,2979594,58.5,33.2,8.3,141670,678685,0,3011302,2709959,17044,48.5,8.6,8.6,11.8,22.5,1314399,8267,33.5,8,9.4,0.2,7.3,0.1,2.7,0.2,2.7,34.1,Under 500,Rural,"$456,750 to < $479,670",$1.0809 to under $1.2148
NORTH TEXAS COLLEGIATE ACADEMY,061802,061 DENTON,11,C,3,695,20,54.7,21.6,0.1,1.3,0,2.3,97,42.4,10.9,42.2,0,0,96.1,,,,,,,62,34,18,68,38,22,60,30,14,54,33,15,56,39,22,70,35,21,52,25,10,82,58,36,-1,-1,-1,92,62,62,,,,62,23,0,62,33,18,,,,,61.8,44.9,5.5,1.9,2.2,72.6,6.5,11.3,69593,77804,83476,53901,30.3,11.2,15.5,64.9,6.2,37.5,35.2,19.7,4.5,70.9,2.2,1.7,0,1.1,84.4,6.7,8.9,0,0,0,0,0,7576086,11969,7576086,83.9,0.3,15.8,0,0,29764,5530785,5416324,8557,60.1,7.1,7.3,12.5,13,3252823,5139,37.6,7.3,13.5,1.9,0,0.1,0.2,0,4.1,30.3,500 to 999,Charters,Non-taxing entities,Non-taxing entities
LEADERSHIP PREP SCHOOL,061804,061 DENTON,10,B,2,1344,13.9,20.6,31.1,0.8,29.4,0,4.2,3.8,5.7,8.3,5.5,38.2,6.3,98.3,0,,,,69,44,81,51,25,87,65,35,76,39,18,77,43,14,77,49,26,69,40,17,78,44,20,77,43,16,100,57,36,93,73,44,,,,86,50,31,74,46,13,66.7,54.3,1160,22.1,117.4,69.6,4.2,3.6,10.8,59.3,8,14.2,88799,63646,60247,56475,21.4,11.4,19.3,36.6,9.6,32.1,23.5,1.4,9.2,83.8,1.4,1.4,0,2.8,74.2,14.2,0.2,0,6.7,4.7,0,0,12249775,9094,12249775,97.1,1.1,1.8,0,0,315283,10450992,9544800,7086,56.5,8.8,4.3,22,8.5,5388435,4000,53.1,7.9,0.5,0.4,4.9,1.2,0.8,0.4,0,30.4,"1,000 to 1,599",Charters,Non-taxing entities,Non-taxing entities
TRIVIUM ACADEMY,061805,061 DENTON,11,B,1,553,6.1,21.2,43.2,0,22.8,0.7,6,3.8,10.1,12.1,8,3.6,14.6,96.8,0,,,,,,85,60,36,88,69,43,83,54,29,84,59,33,83,50,37,58,34,17,76,49,28,91,65,39,,,,93,73,47,100,82,45,82,57,31,77,37,0,,,,,65.2,52.8,4.3,4.1,4.6,81,0,6.1,77499,73185,80557,56535,19.4,8.5,10.5,51.3,7.9,35.9,29.5,5.7,11.4,78.2,0,4.7,0,0,97.7,0.8,0,0,0.4,1.2,0,0,5766545,9643,5766545,93.9,4.4,1.7,0,0,1041735,5770011,5770011,9649,64.9,9.2,4.6,17.5,3.8,3745274,6263,62.8,7,0.3,0.3,0.3,2.9,0.3,0,0,24.2,500 to 999,Charters,Non-taxing entities,Non-taxing entities
DENTON ISD,061901,061 DENTON,11,B,43,31771,20.3,33.9,38.2,0.4,3.4,0.2,3.7,49.3,16.7,12.7,17.7,30.9,9.7,97,0.3,97.6,98.4,98.6,2095,1809,73,46,22,76,54,25,68,37,17,73,44,19,75,51,29,59,30,11,67,38,15,84,61,32,72,46,18,89,71,42,73,47,19,83,50,25,61,32,12,93.1,32.6,987,22,4372.1,2411.6,0.6,2.4,12.2,55.2,9.5,20.1,131386,91268,71092,61517,32.1,7.3,13.2,29.6,11.2,31.5,14.2,8.5,14.6,73.9,0.3,1,0.2,1.6,77.8,6.5,1.6,2.2,4.8,7.1,706711,1.408,477104715,15804,330517992,25.9,61.5,12.6,146586723,80578579,0,671200945,342965709,11361,61,6.1,5.3,9,18.6,209081351,6926,40,15.5,7.9,0.7,3.6,1.1,1.9,0,0.5,24.8,"25,000 to 49,999",Other Central City Suburban,"$674,066 to < $710,768",$1.3239 and over
LEWISVILLE ISD,061902,061 DENTON,11,B,62,49113,12,30.7,36.6,0.3,15.7,0.1,4.6,33.6,19.6,16.4,20.6,21.5,11.3,96,1,96.6,97.1,97.5,4171,3519,82,60,34,84,66,37,79,52,28,84,59,31,85,63,42,68,38,15,72,44,20,91,72,42,84,62,36,93,79,55,85,60,23,83,62,37,68,39,16,70.5,59,1131,24.7,6381.4,3752.3,1.2,3.2,11.7,58.8,9.5,15.7,115015,90647,71593,61176,27.7,7.7,13.1,27.2,12.4,28.2,12.9,6.1,12.5,76.4,0.6,2.7,0.1,1.7,66.3,15.8,0,5.7,3.6,8.6,909184,1.347,674245577,13689,504744456,9.3,76.9,13.8,169501121,37849910,0,857168335,534506497,10852,61.2,6.9,6.3,8.7,16.9,327079013,6641,45.1,16.9,5.9,2.3,2.8,1.1,1.4,0,0.8,21.2,"25,000 to 49,999",Other Central City,"$836,577 to < $949,515",$1.3239 and over
